month,vaccine,n_countries,prelim,year,diff
1,DTP3,44,Non-Prelim,2020,0.053227632
2,DTP3,44,Non-Prelim,2020,0.0557635
3,DTP3,44,Non-Prelim,2020,-0.0909193
4,DTP3,44,Non-Prelim,2020,-0.346895742
5,DTP3,44,Non-Prelim,2020,-0.192054936
6,DTP3,44,Non-Prelim,2020,-0.03766957
7,DTP3,44,Non-Prelim,2020,-0.014966743
8,DTP3,44,Non-Prelim,2020,0.019469987
9,DTP3,44,Non-Prelim,2020,0.032267632
10,DTP3,44,Non-Prelim,2020,0.026823879
11,DTP3,44,Non-Prelim,2020,0.032201842
12,DTP3,44,Non-Prelim,2020,0.033989731
1,DTP3,40,Non-Prelim,2021,0.026481912
2,DTP3,40,Non-Prelim,2021,0.00460268
3,DTP3,40,Non-Prelim,2021,-0.004559279
4,DTP3,40,Non-Prelim,2021,-0.03151662
5,DTP3,40,Non-Prelim,2021,-0.054065864
6,DTP3,40,Non-Prelim,2021,0.01255114