who_region,month,vaccine,n_countries,prelim,year,diff
AFRO,1,DTP3,31,Non-Prelim,2020,0.027877285
AFRO,2,DTP3,31,Non-Prelim,2020,0.028933209
AFRO,3,DTP3,31,Non-Prelim,2020,-0.014319195
AFRO,4,DTP3,31,Non-Prelim,2020,-0.081908062
AFRO,5,DTP3,31,Non-Prelim,2020,-0.075772078
AFRO,6,DTP3,31,Non-Prelim,2020,0.012141382
AFRO,7,DTP3,31,Non-Prelim,2020,-0.019973657
AFRO,8,DTP3,31,Non-Prelim,2020,0.005350939
AFRO,9,DTP3,31,Non-Prelim,2020,0.039620805
AFRO,10,DTP3,31,Non-Prelim,2020,0.028579364
AFRO,11,DTP3,31,Non-Prelim,2020,0.029271693
AFRO,12,DTP3,31,Non-Prelim,2020,0.046753586
EMRO,1,DTP3,4,Non-Prelim,2020,-0.053292261
EMRO,2,DTP3,4,Non-Prelim,2020,-0.005442929
EMRO,3,DTP3,4,Non-Prelim,2020,-0.209466243
EMRO,4,DTP3,4,Non-Prelim,2020,-0.495615153
EMRO,5,DTP3,4,Non-Prelim,2020,-0.418931153
EMRO,6,DTP3,4,Non-Prelim,2020,-0.055582148
EMRO,7,DTP3,4,Non-Prelim,2020,-0.056990959
EMRO,8,DTP3,4,Non-Prelim,2020,0.030651584
EMRO,9,DTP3,4,Non-Prelim,2020,0.038931282
EMRO,10,DTP3,4,Non-Prelim,2020,0.132484949
EMRO,11,DTP3,4,Non-Prelim,2020,0.123527216
EMRO,12,DTP3,4,Non-Prelim,2020,0.188988417
PAHO,1,DTP3,2,Non-Prelim,2020,-0.047833509
PAHO,2,DTP3,2,Non-Prelim,2020,0.184899824
PAHO,3,DTP3,2,Non-Prelim,2020,0.106922979
PAHO,4,DTP3,2,Non-Prelim,2020,0.01172058
PAHO,5,DTP3,2,Non-Prelim,2020,-0.400543386
PAHO,6,DTP3,2,Non-Prelim,2020,-0.198380655
PAHO,7,DTP3,2,Non-Prelim,2020,0.042224714
PAHO,8,DTP3,2,Non-Prelim,2020,-0.045252301
PAHO,9,DTP3,2,Non-Prelim,2020,0.219020489
PAHO,10,DTP3,2,Non-Prelim,2020,0.531313708
PAHO,11,DTP3,2,Non-Prelim,2020,0.080601055
PAHO,12,DTP3,2,Non-Prelim,2020,0.090023937
SEARO,1,DTP3,5,Non-Prelim,2020,0.113251413
SEARO,2,DTP3,5,Non-Prelim,2020,0.101013108
SEARO,3,DTP3,5,Non-Prelim,2020,-0.144740818
SEARO,4,DTP3,5,Non-Prelim,2020,-0.60785006
SEARO,5,DTP3,5,Non-Prelim,2020,-0.256991768
SEARO,6,DTP3,5,Non-Prelim,2020,-0.087394121
SEARO,7,DTP3,5,Non-Prelim,2020,-0.002515927
SEARO,8,DTP3,5,Non-Prelim,2020,0.028868314
SEARO,9,DTP3,5,Non-Prelim,2020,0.016964805
SEARO,10,DTP3,5,Non-Prelim,2020,-0.012904651
SEARO,11,DTP3,5,Non-Prelim,2020,0.005289627
SEARO,12,DTP3,5,Non-Prelim,2020,-0.026534525
WPRO,1,DTP3,2,Non-Prelim,2020,0.218862985
WPRO,2,DTP3,2,Non-Prelim,2020,0.189110337
WPRO,3,DTP3,2,Non-Prelim,2020,-0.093916852
WPRO,4,DTP3,2,Non-Prelim,2020,-0.331951065
WPRO,5,DTP3,2,Non-Prelim,2020,0.124391248
WPRO,6,DTP3,2,Non-Prelim,2020,0.023872358
WPRO,7,DTP3,2,Non-Prelim,2020,0.349031315
WPRO,8,DTP3,2,Non-Prelim,2020,0.314013053
WPRO,9,DTP3,2,Non-Prelim,2020,0.19810544
WPRO,10,DTP3,2,Non-Prelim,2020,-0.061071617
WPRO,11,DTP3,2,Non-Prelim,2020,0.1720739
WPRO,12,DTP3,2,Non-Prelim,2020,-0.077329193
AFRO,1,DTP3,29,Non-Prelim,2021,0.017541816
AFRO,2,DTP3,29,Non-Prelim,2021,-0.001003106
AFRO,3,DTP3,29,Non-Prelim,2021,0.014006381
AFRO,4,DTP3,29,Non-Prelim,2021,-0.008047092
AFRO,5,DTP3,29,Non-Prelim,2021,-0.026102254
AFRO,6,DTP3,29,Non-Prelim,2021,0.010926431
EMRO,1,DTP3,4,Non-Prelim,2021,0.115774375
EMRO,2,DTP3,4,Non-Prelim,2021,0.10148754
EMRO,3,DTP3,4,Non-Prelim,2021,-0.016522354
EMRO,4,DTP3,4,Non-Prelim,2021,-0.070482116
EMRO,5,DTP3,4,Non-Prelim,2021,-0.068235033
EMRO,6,DTP3,4,Non-Prelim,2021,0.134484042
PAHO,1,DTP3,1,Non-Prelim,2021,-0.07828058
PAHO,2,DTP3,1,Non-Prelim,2021,-0.107721313
PAHO,3,DTP3,1,Non-Prelim,2021,-0.153117168
PAHO,4,DTP3,1,Non-Prelim,2021,0.936807095
PAHO,5,DTP3,1,Non-Prelim,2021,-0.535351274
PAHO,6,DTP3,1,Non-Prelim,2021,-0.038879849
SEARO,1,DTP3,4,Non-Prelim,2021,-0.079966342
SEARO,2,DTP3,4,Non-Prelim,2021,-0.146864046
SEARO,3,DTP3,4,Non-Prelim,2021,-0.10375043
SEARO,4,DTP3,4,Non-Prelim,2021,-0.145962674
SEARO,5,DTP3,4,Non-Prelim,2021,-0.209132986
SEARO,6,DTP3,4,Non-Prelim,2021,-0.207936614
WPRO,1,DTP3,2,Non-Prelim,2021,-0.018145373
WPRO,2,DTP3,2,Non-Prelim,2021,0.015403632
WPRO,3,DTP3,2,Non-Prelim,2021,-0.107003411
WPRO,4,DTP3,2,Non-Prelim,2021,-0.151278402
WPRO,5,DTP3,2,Non-Prelim,2021,-0.144886982
WPRO,6,DTP3,2,Non-Prelim,2021,-0.114320227